,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2.546672856794934,2011
3,4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,4.243841388384755,2015
4,5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,4.153696362776025,2017
5,6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,6.710167385620915,2015
6,7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,6.827114,2018
8,9,2017-11-17,Justice League,300000000,229024295,655945209,2.18648403,2017
9,10,2015-11-06,Spectre,300000000,200074175,879620923,2.9320697433333334,2015
10,11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,3.9434149054545453,2012
16,17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,4.560277652,2016
17,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,3.470001124,2016
18,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,4.068014272,2012
20,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,3.84146742,2013
21,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,3.782310484,2014
22,23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,4.939385068,2017
24,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,3.4271353782608696,2017
26,27,2012-05-04,The Avengers,225000000,623279547,1517935897,6.746381764444444,2012
28,29,2013-06-14,Man of Steel,225000000,291045518,667999518,2.9688867466666666,2013
30,31,2012-07-03,The Amazing Spider-Man,220000000,262030663,757890267,3.444955759090909,2012
32,33,2017-06-21,Transformers: The Last Knight,217000000,130168683,602893340,2.778310322580645,2017
33,34,2015-06-12,Jurassic World,215000000,652270625,1648854864,7.669092390697674,2015
34,35,2012-05-25,Men in Black 3,215000000,179020854,654213485,3.042853418604651,2012
36,37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,5.2573289333333335,2014
41,42,2018-02-16,Black Panther,200000000,700059566,1348258224,6.74129112,2018
43,44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,6.212603555,2018
44,45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,5.24551428,2016
45,46,2016-06-17,Finding Dory,200000000,486295561,1021215193,5.106075965,2016
47,48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,6.07696136,2013
48,49,2017-05-05,Guardians of the Galaxy Vol 2,200000000,389813101,862316233,4.311581165,2017
51,52,2012-11-08,Skyfall,200000000,304360277,1110526981,5.552634905,2012
52,53,2013-06-21,Monsters University,200000000,268488329,743588329,3.717941645,2013
53,54,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,2.451795255,2013
54,55,2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775,3.739313875,2014
55,56,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336,3.54498168,2014
56,57,2011-06-24,Cars 2,200000000,191450875,560155383,2.800776915,2011
59,60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,3.26110043,2018
63,64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,5.763028425641026,2011
64,65,2017-06-09,The Mummy,195000000,80101125,409953905,2.102327717948718,2017
66,67,2015-04-03,Furious 7,190000000,353007020,1518722794,7.9932778631578945,2015
67,68,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,2.4599030736842105,2013
68,69,2013-06-21,World War Z,190000000,202359711,531514650,2.7974455263157894,2013
71,72,2013-07-12,Pacific Rim,190000000,101802906,411002906,2.1631731894736843,2013
76,77,2012-06-22,Brave,185000000,237282182,554606532,2.997873145945946,2012
77,78,2017-03-10,Kong: Skull Island,185000000,168052812,561072059,3.0328219405405403,2017
80,81,2019-05-24,Aladdin,182000000,246734314,619234314,3.4023863406593406,2019
81,82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,4.705444577777778,2017
83,84,2014-05-30,Maleficent,180000000,241407328,758536735,4.214092972222222,2014
84,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,4.457793627777778,2016
91,92,2018-07-27,Mission: ImpossibleâFallout,178000000,220159104,787456552,4.4239132134831465,2018
92,93,2016-05-27,X-Men: Apocalypse,178000000,155442489,542537546,3.047963741573034,2016
93,94,2018-08-10,The Meg,178000000,145443742,529530715,2.974891657303371,2018
94,95,2014-06-06,Edge of Tomorrow,178000000,100206256,370541256,2.081692449438202,2014
95,96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,6.417494571428572,2019
96,97,2016-04-15,The Jungle Book,175000000,364001123,962854547,5.502025982857143,2016
97,98,2015-06-19,Inside Out,175000000,356461711,854235992,4.8813485257142855,2015
98,99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,5.029522,2017
99,100,2016-08-05,Suicide Squad,175000000,325100054,746059887,4.263199354285715,2016
101,2,2017-11-22,Coco,175000000,209726015,798008101,4.560046291428572,2017
102,3,2018-11-21,Ralph Breaks The Internet,175000000,201091711,524283695,2.9959068285714285,2018
104,5,2017-06-16,Cars 3,175000000,152901115,383541369,2.1916649657142857,2017
112,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,7.681016464705882,2018
113,14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,4.5345148,2014
115,16,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889,4.202364052941176,2014
116,17,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,710644566,4.180262152941176,2014
118,19,2012-06-01,Snow White and the Huntsman,170000000,155136755,401021746,2.3589514470588235,2012
121,22,2019-03-29,Dumbo,170000000,113883318,345004422,2.0294377764705884,2019
123,24,2019-02-14,Alita: Battle Angel,170000000,85710210,402976036,2.3704472705882353,2019
127,28,2016-11-04,Doctor Strange,165000000,232641920,676404566,4.099421612121212,2016
128,29,2014-11-07,Big Hero 6,165000000,222527828,652127828,3.952289866666667,2014
130,31,2012-11-02,Wreck-It Ralph,165000000,189412677,496511521,3.0091607333333332,2012
131,32,2014-11-05,Interstellar,165000000,188017894,666379375,4.038662878787878,2014
132,33,2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,2.328299539393939,2016
134,35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,7.8699981625,2017
135,36,2018-12-21,Aquaman,160000000,335061807,1146894640,7.1680915,2018
138,39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,4.05616741875,2015
139,40,2013-05-24,Fast and Furious 6,160000000,238679850,789300444,4.933127775,2013
140,41,2014-05-16,Godzilla,160000000,200676069,529076069,3.30672543125,2014
141,42,2011-06-03,X-Men: First Class,160000000,146408305,355408305,2.22130190625,2011
145,46,2016-06-10,Warcraft,160000000,47225655,425522281,2.65951425625,2016
148,49,2015-07-01,Terminator: Genisys,155000000,89760956,432150894,2.788070283870968,2015
