,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
43,69,2013-06-21,World War Z,190000000,202359711,531514650,2.7974455263157894,2013,tt0816711,World War Z,World War Z,116.0,"Action,Adventure,Horror",7.0,553751,over,True,6
60,94,2018-08-10,The Meg,178000000,145443742,529530715,2.974891657303371,2018,tt4779682,The Meg,The Meg,113.0,"Action,Horror,Sci-Fi",5.7,114042,sweet spot,True,8
106,89,2012-05-11,Dark Shadows,150000000,79727149,238202668,1.5880177866666667,2012,tt1077368,Dark Shadows,Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,229818,sweet spot,True,5
198,12,2017-05-19,Alien: Covenant,97000000,74262031,238521247,2.4589819278350515,2017,tt2316204,Alien: Covenant,Alien: Covenant,122.0,"Horror,Sci-Fi,Thriller",6.4,226920,over,True,5
278,65,2012-06-22,Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,2.036884888888889,2012,tt1611224,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror",5.9,142853,sweet spot,True,6
289,4,2012-09-14,Resident Evil: Retribution,65000000,42345531,240647629,3.7022712153846156,2012,tt1855325,Resident Evil: Retribution,Resident Evil: Retribution,95.0,"Action,Horror,Sci-Fi",5.4,125191,sweet spot,True,9
317,26,2013-08-21,The Mortal Instruments: City of Bones,60000000,31165421,75965567,1.2660927833333333,2013,tt1538403,The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,130.0,"Action,Fantasy,Horror",5.9,121936,over,True,8
344,27,2012-07-27,The Watch,55000000,34353000,67130045,1.2205462727272727,2012,tt1298649,The Watch,The Watch,102.0,"Action,Comedy,Horror",5.7,115757,sweet spot,True,7
345,32,2018-02-23,Annihilation,55000000,32732301,43070915,0.7831075454545454,2018,tt2798920,Annihilation,Annihilation,115.0,"Adventure,Drama,Horror",6.9,228664,sweet spot,True,2
346,33,2015-10-16,Crimson Peak,55000000,31090320,74966854,1.363033709090909,2015,tt2554274,Crimson Peak,Crimson Peak,119.0,"Drama,Fantasy,Horror",6.5,119287,over,True,10
368,27,2013-01-25,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,4.29899432,2013,tt1428538,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,88.0,"Action,Fantasy,Horror",6.1,183387,under,True,1
