,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror
0,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2.546672856794934,2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,136.0,"Action,Adventure,Fantasy",6.6,447624,over,False
1,3,2019-06-07,Dark Phoenix,350000000,42762350,149762350,0.42789242857142856,2019,tt6565702,Dark Phoenix,Dark Phoenix,113.0,"Action,Adventure,Sci-Fi",6.0,24451,sweet spot,False
2,4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,4.243841388384755,2015,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,141.0,"Action,Adventure,Sci-Fi",7.3,665594,over,False
3,7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,6.827114,2018,tt4154756,Avengers: Infinity War,Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",8.5,670926,over,False
4,9,2017-11-17,Justice League,300000000,229024295,655945209,2.18648403,2017,tt0974015,Justice League,Justice League,120.0,"Action,Adventure,Fantasy",6.5,329135,over,False
5,10,2015-11-06,Spectre,300000000,200074175,879620923,2.9320697433333334,2015,tt2379713,Spectre,Spectre,148.0,"Action,Adventure,Thriller",6.8,352504,over,False
6,11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,3.9434149054545453,2012,tt1345836,The Dark Knight Rises,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,over,False
7,12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,393151347,1.4296412618181817,2018,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,135.0,"Action,Adventure,Fantasy",7.0,226243,over,False
8,13,2013-07-02,The Lone Ranger,275000000,89302115,260002115,0.9454622363636364,2013,tt1210819,The Lone Ranger,The Lone Ranger,150.0,"Action,Adventure,Western",6.4,208827,over,False
9,14,2012-03-09,John Carter,275000000,73058679,282778100,1.028284,2012,tt0401729,John Carter,John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,over,False
10,17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,4.560277652,2016,tt3498820,Captain America: Civil War,Captain America: Civil War,147.0,"Action,Adventure,Sci-Fi",7.8,583507,over,False
11,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,3.470001124,2016,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,151.0,"Action,Adventure,Fantasy",6.5,576909,over,False
12,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,4.068014272,2012,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,over,False
13,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,3.84146742,2013,tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,over,False
14,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,3.782310484,2014,tt2310332,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,144.0,"Adventure,Fantasy",7.4,438621,over,False
15,23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,4.939385068,2017,tt4630562,The Fate of the Furious,The Fate of the Furious,136.0,"Action,Crime,Thriller",6.7,179774,over,False
16,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,3.4271353782608696,2017,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,129.0,"Action,Adventure,Fantasy",6.6,228592,over,False
17,27,2012-05-04,The Avengers,225000000,623279547,1517935897,6.746381764444444,2012,tt0848228,The Avengers,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,over,False
18,29,2013-06-14,Man of Steel,225000000,291045518,667999518,2.9688867466666666,2013,tt0770828,Man of Steel,Man of Steel,143.0,"Action,Adventure,Sci-Fi",7.1,647288,over,False
19,31,2012-07-03,The Amazing Spider-Man,220000000,262030663,757890267,3.444955759090909,2012,tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632,over,False
20,32,2012-05-18,Battleship,220000000,65233400,313477717,1.4248987136363636,2012,tt1440129,Battleship,Battleship,131.0,"Action,Adventure,Sci-Fi",5.8,225342,over,False
21,33,2017-06-21,Transformers: The Last Knight,217000000,130168683,602893340,2.778310322580645,2017,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,154.0,"Action,Adventure,Sci-Fi",5.2,119007,over,False
22,34,2015-06-12,Jurassic World,215000000,652270625,1648854864,7.669092390697674,2015,tt0369610,Jurassic World,Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338,over,False
23,35,2012-05-25,Men in Black 3,215000000,179020854,654213485,3.042853418604651,2012,tt1409024,Men in Black 3,Men in Black 3,106.0,"Action,Adventure,Comedy",6.8,309879,sweet spot,False
24,37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,5.2573289333333335,2014,tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,165.0,"Action,Adventure,Sci-Fi",5.7,283486,over,False
25,42,2018-02-16,Black Panther,200000000,700059566,1348258224,6.74129112,2018,tt1825683,Black Panther,Black Panther,134.0,"Action,Adventure,Sci-Fi",7.3,516148,over,False
26,44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,6.212603555,2018,tt3606756,Incredibles 2,Incredibles 2,118.0,"Action,Adventure,Animation",7.7,203510,over,False
27,45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,5.24551428,2016,tt3748528,Rogue One: A Star Wars Story,Rogue One,133.0,"Action,Adventure,Sci-Fi",7.8,478592,over,False
28,46,2016-06-17,Finding Dory,200000000,486295561,1021215193,5.106075965,2016,tt2277860,Finding Dory,Finding Dory,97.0,"Adventure,Animation,Comedy",7.3,213542,sweet spot,False
29,48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,6.07696136,2013,tt1300854,Iron Man 3,Iron Man Three,130.0,"Action,Adventure,Sci-Fi",7.2,692794,over,False
30,52,2012-11-08,Skyfall,200000000,304360277,1110526981,5.552634905,2012,tt1074638,Skyfall,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,over,False
31,53,2013-06-21,Monsters University,200000000,268488329,743588329,3.717941645,2013,tt1453405,Monsters University,Monsters University,104.0,"Adventure,Animation,Comedy",7.3,291887,sweet spot,False
32,54,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,2.451795255,2013,tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,130.0,"Adventure,Family,Fantasy",6.3,192045,over,False
33,55,2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775,3.739313875,2014,tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,over,False
34,56,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336,3.54498168,2014,tt1872181,The Amazing Spider-Man 2,The Amazing Spider-Man 2,142.0,"Action,Adventure,Sci-Fi",6.6,388363,over,False
35,57,2011-06-24,Cars 2,200000000,191450875,560155383,2.800776915,2011,tt1216475,Cars 2,Cars 2,106.0,"Adventure,Animation,Comedy",6.2,138914,sweet spot,False
36,60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,3.26110043,2018,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,over,False
37,62,2011-06-17,Green Lantern,200000000,116601172,219535492,1.09767746,2011,tt1133985,Green Lantern,Green Lantern,114.0,"Action,Adventure,Sci-Fi",5.5,252281,sweet spot,False
38,64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,5.763028425641026,2011,tt1399103,Transformers: Dark of the Moon,Transformers: Dark of the Moon,154.0,"Action,Adventure,Sci-Fi",6.2,366409,over,False
39,65,2017-06-09,The Mummy,195000000,80101125,409953905,2.102327717948718,2017,tt2345759,The Mummy,The Mummy,110.0,"Action,Adventure,Fantasy",5.5,154345,sweet spot,False
40,66,2013-03-01,Jack the Giant Slayer,195000000,65187603,197687603,1.0137825794871795,2013,tt1351685,Jack the Giant Slayer,Jack the Giant Slayer,114.0,"Adventure,Fantasy",6.3,123127,sweet spot,False
41,67,2015-04-03,Furious 7,190000000,353007020,1518722794,7.9932778631578945,2015,tt2820852,Furious 7,Furious Seven,137.0,"Action,Crime,Thriller",7.2,335074,over,False
42,68,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,2.4599030736842105,2013,tt1408101,Star Trek Into Darkness,Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535,over,False
43,69,2013-06-21,World War Z,190000000,202359711,531514650,2.7974455263157894,2013,tt0816711,World War Z,World War Z,116.0,"Action,Adventure,Horror",7.0,553751,over,True
44,70,2013-05-10,The Great Gatsby,190000000,144840419,351040419,1.8475811526315788,2013,tt1343092,The Great Gatsby,The Great Gatsby,143.0,"Drama,Romance",7.3,433165,over,False
